AT (Original),AT (Min-Max),AT (Z-Score),V (Original),V (Min-Max),V (Z-Score),AP (Original),AP (Min-Max),AP (Z-Score),RH (Original),RH (Min-Max),RH (Z-Score),PE (Original),PE (Min-Max),PE (Z-Score)
29.96,18.99,1.38,67.83,8.78,1.06,1008.00,0.37,-0.89,44.05,0.25,-2.00,433.13,1.00,-1.24
21.38,17.77,0.23,60.84,8.16,0.51,1017.94,0.62,0.79,82.83,0.77,0.65,445.80,1.00,-0.50
19.48,17.50,-0.02,39.72,6.28,-1.15,1001.75,0.22,-1.94,55.41,0.40,-1.23,457.16,1.00,0.16
12.99,16.58,-0.89,41.93,6.47,-0.97,1020.25,0.68,1.18,74.64,0.66,0.09,472.95,1.00,1.09
25.79,18.40,0.82,75.60,9.47,1.68,1017.46,0.61,0.71,75.63,0.67,0.16,434.65,1.00,-1.16
11.46,16.37,-1.10,39.30,6.24,-1.18,1019.53,0.66,1.06,76.86,0.69,0.24,475.51,1.00,1.24
26.38,18.48,0.90,71.58,9.11,1.36,1011.02,0.45,-0.38,80.90,0.74,0.52,434.26,1.00,-1.18
5.23,15.48,-1.94,35.57,5.91,-1.47,1026.23,0.83,2.18,79.38,0.72,0.42,488.50,1.00,2.00
15.36,16.92,-0.58,41.35,6.42,-1.02,1002.40,0.24,-1.83,91.67,0.89,1.26,465.01,1.00,0.62
9.19,16.05,-1.40,40.62,6.36,-1.08,1017.78,0.62,0.76,68.91,0.58,-0.30,475.42,1.00,1.23
5.89,15.58,-1.85,40.07,6.31,-1.12,1018.99,0.65,0.97,63.13,0.50,-0.70,493.90,1.00,2.32
34.29,19.60,1.96,68.51,8.84,1.12,1009.58,0.41,-0.62,32.25,0.09,-2.81,427.62,1.00,-1.57
19.21,17.46,-0.06,60.07,8.09,0.45,1014.94,0.55,0.28,70.02,0.60,-0.23,452.84,1.00,-0.09
14.02,16.73,-0.76,40.66,6.36,-1.07,1017.05,0.60,0.64,84.14,0.79,0.74,465.39,1.00,0.65
29.12,18.87,1.27,67.83,8.78,1.06,1008.05,0.38,-0.88,46.86,0.29,-1.81,432.46,1.00,-1.28
2.58,15.11,-2.29,39.42,6.25,-1.17,1028.68,0.89,2.60,69.03,0.58,-0.29,488.69,1.00,2.01
12.61,16.53,-0.94,41.58,6.44,-1.00,1020.17,0.68,1.16,85.18,0.80,0.81,463.36,1.00,0.53
20.48,17.64,0.11,60.29,8.11,0.47,1017.16,0.60,0.66,72.10,0.62,-0.08,455.51,1.00,0.07
7.30,15.78,-1.66,43.65,6.63,-0.84,1019.33,0.65,1.02,67.62,0.56,-0.39,482.96,1.00,1.68
22.70,17.96,0.41,66.44,8.65,0.95,1011.19,0.45,-0.35,68.36,0.57,-0.34,444.02,1.00,-0.61
29.78,18.96,1.36,65.74,8.59,0.90,1012.13,0.48,-0.19,44.96,0.26,-1.94,441.51,1.00,-0.75
15.30,16.91,-0.58,43.34,6.60,-0.86,1013.23,0.50,-0.00,82.73,0.77,0.65,463.70,1.00,0.55
10.39,16.22,-1.24,44.85,6.73,-0.74,1014.22,0.53,0.16,78.42,0.71,0.35,478.05,1.00,1.39
13.10,16.60,-0.88,49.83,7.18,-0.35,1007.29,0.36,-1.01,92.79,0.90,1.33,466.08,1.00,0.69
24.92,18.27,0.71,48.92,7.10,-0.42,1010.11,0.43,-0.53,36.53,0.15,-2.52,445.56,1.00,-0.52
10.89,16.29,-1.18,44.20,6.68,-0.80,1018.30,0.63,0.85,86.32,0.81,0.89,479.16,1.00,1.45
6.81,15.71,-1.72,38.56,6.17,-1.24,1016.50,0.58,0.55,70.99,0.61,-0.16,487.45,1.00,1.94
23.63,18.09,0.53,71.29,9.09,1.34,1008.01,0.37,-0.88,70.07,0.60,-0.22,442.65,1.00,-0.69
32.39,19.33,1.71,79.74,9.84,2.00,1006.92,0.35,-1.07,58.58,0.44,-1.01,430.12,1.00,-1.42
20.64,17.67,0.13,49.21,7.12,-0.40,1014.86,0.54,0.27,58.47,0.44,-1.02,454.20,1.00,-0.01
26.89,18.55,0.97,70.32,9.00,1.26,1012.39,0.48,-0.15,87.17,0.83,0.95,435.56,1.00,-1.10
19.02,17.44,-0.08,50.66,7.25,-0.29,1013.04,0.50,-0.04,85.25,0.80,0.82,455.42,1.00,0.06
20.78,17.69,0.15,58.86,7.98,0.36,1016.02,0.57,0.46,77.29,0.69,0.27,446.20,1.00,-0.48
8.72,15.98,-1.47,36.25,5.97,-1.42,1029.31,0.90,2.70,85.73,0.81,0.85,479.94,1.00,1.50
22.45,17.92,0.38,41.54,6.44,-1.00,1012.69,0.49,-0.10,70.89,0.61,-0.17,460.07,1.00,0.33
24.20,18.17,0.61,50.78,7.26,-0.28,1008.74,0.39,-0.76,59.32,0.45,-0.96,443.09,1.00,-0.66
10.80,16.27,-1.19,40.22,6.32,-1.11,1011.25,0.45,-0.34,84.57,0.79,0.77,478.21,1.00,1.40
31.48,19.20,1.59,69.75,8.95,1.22,1008.90,0.40,-0.73,45.66,0.27,-1.89,438.19,1.00,-0.95
19.09,17.45,-0.08,66.51,8.66,0.96,1015.11,0.55,0.31,76.38,0.68,0.21,458.41,1.00,0.24
24.38,18.20,0.63,63.91,8.43,0.76,1009.53,0.41,-0.63,79.11,0.72,0.40,446.02,1.00,-0.49
19.46,17.50,-0.03,46.33,6.87,-0.63,1013.77,0.52,0.09,89.62,0.86,1.12,452.11,1.00,-0.13
26.63,18.52,0.94,73.68,9.30,1.52,1015.15,0.55,0.32,85.13,0.80,0.81,428.80,1.00,-1.50
10.26,16.20,-1.26,39.13,6.23,-1.19,1010.94,0.45,-0.39,87.78,0.83,0.99,474.16,1.00,1.16
31.01,19.14,1.52,71.37,9.09,1.34,1003.40,0.26,-1.66,55.06,0.40,-1.25,430.82,1.00,-1.38
3.95,15.30,-2.11,38.44,6.16,-1.25,1016.75,0.59,0.59,79.65,0.73,0.43,492.46,1.00,2.23
25.99,18.42,0.85,74.67,9.39,1.60,1016.59,0.59,0.56,83.39,0.78,0.69,434.70,1.00,-1.15
18.25,17.33,-0.19,43.14,6.58,-0.88,1011.51,0.46,-0.29,55.16,0.40,-1.24,462.78,1.00,0.49
14.46,16.79,-0.70,53.82,7.53,-0.04,1016.55,0.59,0.55,68.11,0.57,-0.36,462.60,1.00,0.48
29.09,18.86,1.27,70.98,9.06,1.31,1007.86,0.37,-0.91,80.35,0.73,0.48,439.34,1.00,-0.88
12.53,16.52,-0.96,42.03,6.48,-0.97,1017.57,0.61,0.73,81.57,0.75,0.57,469.18,1.00,0.87
20.35,17.63,0.09,67.71,8.77,1.05,1005.85,0.32,-1.25,63.97,0.51,-0.64,446.42,1.00,-0.47
5.82,15.57,-1.86,41.38,6.43,-1.02,1021.06,0.70,1.31,86.91,0.82,0.93,492.12,1.00,2.21
10.52,16.23,-1.23,41.01,6.39,-1.05,1020.35,0.68,1.19,93.58,0.91,1.39,466.75,1.00,0.73
14.10,16.74,-0.74,41.04,6.40,-1.04,1026.11,0.82,2.16,74.25,0.65,0.06,465.89,1.00,0.68
21.98,17.86,0.31,55.97,7.72,0.13,1009.12,0.40,-0.70,89.51,0.86,1.11,442.65,1.00,-0.69
23.60,18.09,0.53,65.48,8.57,0.88,1017.44,0.61,0.70,61.26,0.48,-0.83,444.38,1.00,-0.59
26.53,18.50,0.92,63.87,8.43,0.75,1017.38,0.61,0.69,48.53,0.31,-1.70,445.11,1.00,-0.54
28.22,18.74,1.15,51.43,7.32,-0.23,1006.06,0.33,-1.21,63.72,0.51,-0.66,438.43,1.00,-0.93
26.13,18.44,0.87,73.21,9.26,1.49,1002.12,0.23,-1.88,92.02,0.89,1.28,435.34,1.00,-1.11
4.11,15.33,-2.09,38.44,6.16,-1.25,1015.90,0.57,0.44,81.79,0.75,0.58,488.05,1.00,1.97
30.75,19.10,1.49,73.50,9.28,1.51,1011.02,0.45,-0.38,54.76,0.39,-1.27,429.18,1.00,-1.48
13.27,16.62,-0.86,42.28,6.51,-0.95,1008.30,0.38,-0.84,86.20,0.81,0.88,468.86,1.00,0.85
11.91,16.43,-1.04,43.22,6.59,-0.87,1008.75,0.39,-0.76,76.57,0.68,0.22,472.88,1.00,1.08
18.24,17.33,-0.19,59.15,8.01,0.38,1012.00,0.47,-0.21,84.40,0.79,0.76,449.48,1.00,-0.29
30.01,18.99,1.39,62.34,8.29,0.63,1005.28,0.31,-1.34,62.34,0.49,-0.75,435.94,1.00,-1.08
11.41,16.36,-1.11,40.62,6.36,-1.08,1015.56,0.56,0.39,57.62,0.43,-1.07,466.83,1.00,0.73
14.39,16.78,-0.71,40.35,6.33,-1.10,1011.33,0.46,-0.32,64.86,0.53,-0.58,472.43,1.00,1.06
20.75,17.68,0.15,60.77,8.15,0.51,1017.91,0.62,0.78,86.06,0.81,0.87,448.58,1.00,-0.34
11.36,16.35,-1.11,38.25,6.15,-1.26,1013.22,0.50,-0.01,86.16,0.81,0.88,473.55,1.00,1.12
27.94,18.70,1.11,63.07,8.35,0.69,1010.75,0.44,-0.42,38.57,0.17,-2.38,441.00,1.00,-0.78
11.28,16.34,-1.12,40.55,6.35,-1.08,1006.23,0.33,-1.18,97.78,0.97,1.68,475.14,1.00,1.22
14.69,16.82,-0.67,49.64,7.16,-0.37,1023.43,0.76,1.71,78.17,0.71,0.33,434.12,1.00,-1.19
24.23,18.18,0.61,59.04,8.00,0.37,1011.91,0.47,-0.23,71.79,0.62,-0.10,443.06,1.00,-0.66
9.44,16.08,-1.37,41.79,6.46,-0.98,1020.16,0.67,1.16,72.26,0.63,-0.07,474.03,1.00,1.15
21.83,17.84,0.29,57.85,7.89,0.28,1012.49,0.49,-0.13,75.16,0.66,0.13,448.21,1.00,-0.36
14.79,16.84,-0.65,38.73,6.19,-1.23,999.83,0.17,-2.26,86.45,0.82,0.90,470.28,1.00,0.93
23.29,18.04,0.49,68.51,8.84,1.12,1013.19,0.50,-0.01,77.81,0.70,0.31,441.17,1.00,-0.77
21.75,17.82,0.28,65.12,8.54,0.85,1015.53,0.56,0.38,66.00,0.54,-0.50,452.89,1.00,-0.09
17.33,17.20,-0.31,53.16,7.47,-0.09,1013.16,0.50,-0.02,82.93,0.77,0.66,460.67,1.00,0.37
17.53,17.23,-0.28,50.66,7.25,-0.29,1012.74,0.49,-0.09,91.51,0.88,1.25,457.28,1.00,0.17
22.61,17.95,0.40,54.42,7.59,0.01,1014.74,0.54,0.25,75.87,0.67,0.18,453.86,1.00,-0.03
13.34,16.63,-0.85,40.83,6.38,-1.06,1008.09,0.38,-0.87,85.85,0.81,0.86,471.82,1.00,1.02
15.85,16.99,-0.51,49.69,7.16,-0.36,1015.33,0.56,0.35,89.24,0.85,1.09,469.40,1.00,0.88
12.43,16.50,-0.97,43.22,6.59,-0.87,1008.93,0.40,-0.73,77.42,0.70,0.28,468.01,1.00,0.80
20.34,17.62,0.09,46.63,6.89,-0.60,1013.16,0.50,-0.02,79.08,0.72,0.40,453.62,1.00,-0.04
14.52,16.80,-0.69,44.84,6.73,-0.74,1023.51,0.76,1.73,88.51,0.84,1.04,466.88,1.00,0.73
31.92,19.26,1.65,75.33,9.45,1.65,1001.81,0.22,-1.93,61.97,0.49,-0.78,436.38,1.00,-1.05
22.89,17.99,0.43,73.11,9.25,1.48,1006.66,0.34,-1.11,73.11,0.64,-0.01,440.15,1.00,-0.83
20.84,17.70,0.16,51.19,7.30,-0.25,1008.63,0.39,-0.78,84.11,0.78,0.74,448.98,1.00,-0.32
18.81,17.41,-0.11,52.08,7.38,-0.18,1005.77,0.32,-1.26,98.86,0.98,1.75,450.72,1.00,-0.21
28.95,18.84,1.25,66.75,8.68,0.98,1018.22,0.63,0.84,60.48,0.47,-0.88,432.39,1.00,-1.29
16.82,17.13,-0.38,47.45,6.97,-0.54,1010.19,0.43,-0.52,88.48,0.84,1.04,449.57,1.00,-0.28
11.20,16.33,-1.13,41.38,6.43,-1.02,1021.65,0.71,1.41,61.89,0.49,-0.78,476.87,1.00,1.32
9.13,16.04,-1.41,39.16,6.23,-1.19,1014.14,0.53,0.15,86.17,0.81,0.88,484.86,1.00,1.79
15.24,16.90,-0.59,45.87,6.82,-0.66,1009.46,0.41,-0.64,85.95,0.81,0.87,456.33,1.00,0.12
5.68,15.55,-1.87,40.35,6.33,-1.10,1012.11,0.48,-0.19,92.86,0.90,1.34,486.79,1.00,1.90
30.32,19.04,1.43,64.69,8.50,0.82,1006.35,0.33,-1.16,51.36,0.35,-1.50,436.72,1.00,-1.03
17.89,17.28,-0.24,44.60,6.71,-0.76,1014.48,0.53,0.21,42.51,0.23,-2.11,463.99,1.00,0.56
33.38,19.47,1.84,71.06,9.07,1.32,1008.10,0.38,-0.87,64.83,0.53,-0.58,430.98,1.00,-1.37
26.19,18.45,0.88,65.61,8.58,0.89,1014.51,0.54,0.21,54.52,0.39,-1.29,443.73,1.00,-0.62
12.59,16.53,-0.95,44.34,6.69,-0.78,1017.01,0.60,0.63,85.57,0.80,0.84,474.11,1.00,1.16
17.62,17.24,-0.27,43.69,6.63,-0.84,1016.49,0.58,0.54,67.92,0.57,-0.37,465.93,1.00,0.68
22.06,17.87,0.32,64.15,8.45,0.77,1021.07,0.70,1.32,68.66,0.58,-0.32,451.44,1.00,-0.17
18.28,17.33,-0.18,45.00,6.75,-0.73,1022.47,0.73,1.55,43.03,0.23,-2.07,471.42,1.00,1.00
16.62,17.10,-0.41,52.05,7.37,-0.18,1011.96,0.47,-0.22,67.81,0.57,-0.38,457.89,1.00,0.21
22.83,17.98,0.43,65.18,8.54,0.86,1012.24,0.48,-0.17,79.74,0.73,0.44,442.43,1.00,-0.70
12.04,16.45,-1.02,40.78,6.37,-1.06,1025.21,0.80,2.01,85.97,0.81,0.87,463.51,1.00,0.54
19.51,17.51,-0.02,50.16,7.21,-0.33,1010.33,0.43,-0.49,94.37,0.92,1.44,448.28,1.00,-0.36
24.65,18.24,0.67,71.98,9.15,1.39,1006.46,0.34,-1.14,91.11,0.88,1.22,431.77,1.00,-1.32
16.14,17.03,-0.47,44.63,6.71,-0.76,1019.44,0.66,1.04,47.85,0.30,-1.74,463.50,1.00,0.54
19.27,17.47,-0.05,50.90,7.27,-0.27,1011.72,0.47,-0.26,83.14,0.77,0.67,455.09,1.00,0.04
6.50,15.66,-1.76,38.68,6.19,-1.23,1017.80,0.62,0.76,62.90,0.50,-0.71,483.72,1.00,1.72
6.43,15.65,-1.77,39.61,6.27,-1.16,1017.51,0.61,0.72,83.80,0.78,0.72,480.58,1.00,1.54
23.46,18.07,0.51,57.85,7.89,0.28,1012.70,0.49,-0.09,65.54,0.54,-0.53,444.66,1.00,-0.57
5.68,15.55,-1.87,40.77,6.37,-1.07,1022.49,0.73,1.55,90.60,0.87,1.18,487.58,1.00,1.95
20.12,17.59,0.06,56.53,7.77,0.18,1020.34,0.68,1.19,75.59,0.67,0.16,454.54,1.00,0.01
27.75,18.67,1.09,66.54,8.66,0.96,1010.21,0.43,-0.51,46.37,0.28,-1.85,437.58,1.00,-0.98
14.32,16.77,-0.72,45.08,6.75,-0.73,1023.24,0.75,1.68,84.53,0.79,0.77,467.21,1.00,0.75
28.29,18.75,1.16,47.93,7.01,-0.50,1002.60,0.24,-1.79,53.23,0.37,-1.38,437.13,1.00,-1.01
15.08,16.88,-0.61,42.77,6.55,-0.91,1018.43,0.63,0.87,73.19,0.64,-0.01,461.68,1.00,0.43
10.98,16.30,-1.16,41.39,6.43,-1.02,1017.54,0.61,0.72,85.31,0.80,0.82,476.31,1.00,1.29
31.85,19.25,1.64,73.91,9.32,1.54,1003.60,0.27,-1.63,60.22,0.46,-0.90,431.26,1.00,-1.35
19.54,17.51,-0.01,50.66,7.25,-0.29,1014.70,0.54,0.24,84.53,0.79,0.77,456.61,1.00,0.13
23.17,18.03,0.47,62.39,8.29,0.64,1008.04,0.37,-0.88,89.42,0.86,1.10,439.29,1.00,-0.88
20.28,17.62,0.08,62.52,8.31,0.65,1017.89,0.62,0.78,75.67,0.67,0.16,452.45,1.00,-0.11
10.08,16.17,-1.28,41.16,6.41,-1.03,1023.14,0.75,1.66,96.03,0.94,1.56,469.17,1.00,0.87
28.50,18.78,1.19,74.87,9.40,1.62,1009.67,0.42,-0.60,53.78,0.38,-1.34,444.88,1.00,-0.56
15.16,16.89,-0.60,40.73,6.37,-1.07,1017.70,0.61,0.75,86.37,0.82,0.89,459.19,1.00,0.28
28.02,18.71,1.12,68.08,8.80,1.08,1013.44,0.51,0.03,44.46,0.25,-1.98,434.95,1.00,-1.14
25.38,18.34,0.77,65.34,8.56,0.87,1012.87,0.49,-0.07,62.49,0.50,-0.74,447.41,1.00,-0.41
27.55,18.65,1.06,64.96,8.52,0.84,999.73,0.17,-2.28,57.34,0.43,-1.09,431.33,1.00,-1.35
6.45,15.66,-1.77,40.02,6.30,-1.12,1032.08,0.97,3.17,79.70,0.73,0.44,481.36,1.00,1.58
14.43,16.79,-0.70,43.50,6.61,-0.85,1021.86,0.72,1.45,83.14,0.77,0.67,466.58,1.00,0.72
14.22,16.76,-0.73,39.39,6.25,-1.17,1014.16,0.53,0.15,80.22,0.73,0.47,470.98,1.00,0.97
12.10,16.46,-1.01,40.27,6.33,-1.10,1005.53,0.31,-1.30,68.37,0.57,-0.34,477.61,1.00,1.36
9.83,16.14,-1.32,38.56,6.17,-1.24,1017.35,0.61,0.69,62.80,0.50,-0.72,480.47,1.00,1.53
32.00,19.28,1.66,73.17,9.25,1.48,1009.94,0.42,-0.56,40.48,0.20,-2.25,428.69,1.00,-1.50
11.83,16.42,-1.05,45.09,6.76,-0.73,1013.11,0.50,-0.03,88.52,0.84,1.04,470.32,1.00,0.93
29.92,18.98,1.38,67.22,8.72,1.02,1014.09,0.52,0.14,50.62,0.34,-1.55,444.78,1.00,-0.56
7.22,15.77,-1.67,41.01,6.39,-1.05,1025.19,0.80,2.01,97.27,0.96,1.64,476.15,1.00,1.28
13.07,16.59,-0.88,38.47,6.17,-1.25,1015.16,0.55,0.32,57.26,0.42,-1.10,468.90,1.00,0.85
10.08,16.17,-1.28,43.14,6.58,-0.88,1010.67,0.44,-0.44,85.90,0.81,0.86,478.73,1.00,1.43
23.89,18.13,0.57,70.04,8.98,1.24,1011.16,0.45,-0.35,84.90,0.80,0.79,433.71,1.00,-1.21
18.88,17.42,-0.10,44.06,6.66,-0.81,1013.81,0.52,0.09,68.54,0.58,-0.33,451.13,1.00,-0.19
20.68,17.67,0.14,68.61,8.85,1.13,1011.20,0.45,-0.35,84.81,0.79,0.79,446.33,1.00,-0.47
13.99,16.73,-0.76,36.71,6.01,-1.38,1013.43,0.51,0.03,83.13,0.77,0.67,473.20,1.00,1.10
7.40,15.79,-1.64,41.03,6.39,-1.04,1022.09,0.72,1.49,74.83,0.66,0.10,486.81,1.00,1.90
11.77,16.41,-1.06,40.00,6.30,-1.13,1021.08,0.70,1.32,85.08,0.80,0.81,475.49,1.00,1.24
22.64,17.95,0.40,63.73,8.41,0.74,1013.88,0.52,0.10,84.22,0.79,0.75,447.21,1.00,-0.42
18.13,17.31,-0.20,66.86,8.69,0.99,1012.90,0.50,-0.06,78.84,0.71,0.38,454.85,1.00,0.03
23.18,18.03,0.47,72.99,9.24,1.47,1009.01,0.40,-0.72,90.09,0.87,1.15,439.12,1.00,-0.89
29.45,18.92,1.31,68.24,8.81,1.10,1007.45,0.36,-0.98,32.81,0.10,-2.77,432.53,1.00,-1.28
10.20,16.19,-1.27,41.17,6.41,-1.03,1019.56,0.66,1.06,82.46,0.76,0.63,479.70,1.00,1.48
26.57,18.51,0.93,48.06,7.02,-0.49,1013.23,0.50,-0.00,40.24,0.20,-2.27,439.54,1.00,-0.87
22.78,17.97,0.42,49.16,7.12,-0.40,1002.29,0.23,-1.85,64.28,0.52,-0.62,444.99,1.00,-0.55
25.59,18.37,0.80,61.08,8.18,0.53,1013.19,0.50,-0.01,77.28,0.69,0.27,443.91,1.00,-0.61
18.66,17.39,-0.13,56.53,7.77,0.18,1020.13,0.67,1.16,80.04,0.73,0.46,459.45,1.00,0.30
24.66,18.24,0.67,69.94,8.97,1.23,1006.56,0.34,-1.13,60.91,0.47,-0.85,432.68,1.00,-1.27
21.90,17.85,0.30,66.54,8.66,0.96,1004.76,0.29,-1.43,89.99,0.86,1.14,439.06,1.00,-0.90
12.12,16.46,-1.01,38.28,6.15,-1.26,1013.65,0.51,0.07,90.19,0.87,1.16,471.19,1.00,0.99
14.95,16.86,-0.63,42.99,6.57,-0.89,1008.75,0.39,-0.76,90.76,0.87,1.20,468.61,1.00,0.83
19.31,17.48,-0.05,52.72,7.43,-0.12,1024.93,0.79,1.97,53.93,0.38,-1.33,455.25,1.00,0.05
30.93,19.12,1.51,73.42,9.28,1.50,1010.98,0.45,-0.38,56.42,0.41,-1.16,432.44,1.00,-1.28
26.27,18.46,0.89,62.91,8.34,0.68,1011.97,0.47,-0.22,48.06,0.30,-1.73,447.76,1.00,-0.39
19.46,17.50,-0.03,66.86,8.69,0.99,1012.74,0.49,-0.09,66.20,0.54,-0.49,454.89,1.00,0.03
15.56,16.95,-0.55,40.12,6.31,-1.12,1013.72,0.52,0.08,89.78,0.86,1.13,461.21,1.00,0.40
8.99,16.02,-1.43,41.26,6.41,-1.03,1020.52,0.68,1.22,91.96,0.89,1.28,476.09,1.00,1.27
22.16,17.88,0.34,58.82,7.98,0.36,1009.61,0.41,-0.61,87.16,0.83,0.95,444.76,1.00,-0.56
24.43,18.20,0.64,59.87,8.07,0.44,1019.08,0.65,0.98,60.57,0.47,-0.87,441.61,1.00,-0.75
20.78,17.69,0.15,62.52,8.31,0.65,1017.58,0.61,0.73,73.30,0.64,-0.00,452.30,1.00,-0.12
29.51,18.92,1.32,76.09,9.51,1.71,1007.39,0.36,-0.99,71.50,0.62,-0.12,432.45,1.00,-1.28
12.40,16.50,-0.97,40.35,6.33,-1.10,1011.46,0.46,-0.30,79.49,0.72,0.42,476.44,1.00,1.29
28.92,18.84,1.24,72.43,9.19,1.43,1007.03,0.35,-1.05,66.14,0.54,-0.49,431.50,1.00,-1.34
13.03,16.59,-0.89,42.86,6.56,-0.90,1014.39,0.53,0.19,86.25,0.81,0.89,475.03,1.00,1.21
28.73,18.81,1.22,73.91,9.32,1.54,1004.91,0.30,-1.41,70.17,0.60,-0.22,436.12,1.00,-1.07
26.43,18.49,0.91,77.17,9.61,1.80,1008.67,0.39,-0.77,92.59,0.90,1.32,431.26,1.00,-1.35
17.61,17.24,-0.27,56.53,7.77,0.18,1019.50,0.66,1.05,82.30,0.76,0.62,457.01,1.00,0.15
21.79,17.83,0.29,46.21,6.85,-0.64,1012.89,0.49,-0.06,72.00,0.62,-0.09,449.99,1.00,-0.26
5.11,15.47,-1.95,42.07,6.49,-0.96,1004.28,0.28,-1.51,81.80,0.75,0.58,486.41,1.00,1.88
12.85,16.56,-0.91,40.35,6.33,-1.10,1011.29,0.46,-0.33,81.27,0.75,0.55,472.69,1.00,1.07
25.03,18.29,0.72,47.93,7.01,-0.50,1003.02,0.25,-1.72,62.89,0.50,-0.71,443.55,1.00,-0.63
25.35,18.33,0.76,66.56,8.67,0.96,1008.75,0.39,-0.76,66.88,0.55,-0.44,436.51,1.00,-1.05
28.95,18.84,1.25,73.40,9.27,1.50,1011.33,0.46,-0.32,55.14,0.40,-1.24,440.67,1.00,-0.80
19.72,17.54,0.01,51.19,7.30,-0.25,1008.51,0.39,-0.80,95.28,0.93,1.50,446.01,1.00,-0.49
30.03,19.00,1.39,67.90,8.78,1.07,1006.22,0.33,-1.19,52.61,0.36,-1.42,426.13,1.00,-1.65
8.70,15.98,-1.47,39.72,6.28,-1.15,1020.00,0.67,1.14,78.75,0.71,0.37,479.03,1.00,1.45
14.94,16.86,-0.63,42.77,6.55,-0.91,1018.06,0.62,0.81,75.35,0.67,0.14,460.51,1.00,0.36
7.07,15.75,-1.69,37.49,6.08,-1.32,1010.35,0.43,-0.49,87.19,0.83,0.95,481.58,1.00,1.59
21.12,17.74,0.20,47.24,6.95,-0.56,1003.79,0.27,-1.59,70.55,0.60,-0.19,462.41,1.00,0.47
8.60,15.96,-1.48,42.28,6.51,-0.95,1008.58,0.39,-0.79,80.15,0.73,0.47,484.21,1.00,1.75
10.33,16.21,-1.25,44.92,6.74,-0.74,1025.34,0.80,2.03,85.67,0.81,0.85,476.99,1.00,1.33
16.79,17.12,-0.38,49.25,7.13,-0.40,1021.21,0.70,1.34,68.80,0.58,-0.31,458.42,1.00,0.24
16.16,17.03,-0.47,41.79,6.46,-0.98,1007.53,0.36,-0.96,76.21,0.68,0.20,453.39,1.00,-0.06
22.52,17.93,0.38,64.27,8.46,0.78,1014.34,0.53,0.18,82.77,0.77,0.65,445.40,1.00,-0.53
22.11,17.88,0.33,59.80,8.06,0.43,1016.86,0.59,0.61,70.14,0.60,-0.22,450.62,1.00,-0.22
14.11,16.74,-0.74,45.08,6.75,-0.73,1023.27,0.75,1.69,83.22,0.77,0.68,464.70,1.00,0.61
24.97,18.28,0.71,68.61,8.85,1.13,1011.08,0.45,-0.37,58.94,0.45,-0.98,447.83,1.00,-0.38
19.22,17.47,-0.06,62.10,8.27,0.61,1019.43,0.66,1.04,79.19,0.72,0.40,451.80,1.00,-0.15
13.72,16.69,-0.80,44.47,6.70,-0.77,1027.20,0.85,2.35,68.89,0.58,-0.30,470.66,1.00,0.95
24.58,18.23,0.66,71.94,9.14,1.39,1006.85,0.35,-1.08,89.02,0.85,1.08,433.99,1.00,-1.19
9.16,16.04,-1.41,42.44,6.52,-0.93,1014.43,0.53,0.20,93.67,0.91,1.39,480.98,1.00,1.56
20.92,17.71,0.17,57.76,7.88,0.27,1017.22,0.60,0.67,75.86,0.67,0.17,453.96,1.00,-0.02
26.70,18.53,0.95,70.32,9.00,1.26,1011.04,0.45,-0.37,86.41,0.82,0.90,438.46,1.00,-0.93
9.04,16.02,-1.42,44.68,6.72,-0.76,1023.14,0.75,1.66,90.73,0.87,1.19,479.53,1.00,1.47
10.16,16.18,-1.27,39.30,6.24,-1.18,1019.71,0.66,1.09,81.21,0.75,0.54,480.74,1.00,1.55
3.85,15.29,-2.12,35.47,5.90,-1.48,1016.78,0.59,0.59,85.31,0.80,0.82,489.78,1.00,2.08
22.70,17.96,0.41,64.05,8.44,0.77,1012.65,0.49,-0.10,89.69,0.86,1.12,448.76,1.00,-0.33
28.54,18.79,1.19,69.59,8.94,1.20,1008.84,0.39,-0.74,78.62,0.71,0.36,433.30,1.00,-1.23
31.54,19.21,1.60,72.58,9.20,1.44,1007.61,0.36,-0.95,65.57,0.54,-0.53,427.31,1.00,-1.59
10.48,16.23,-1.23,36.71,6.01,-1.38,1023.18,0.75,1.67,81.37,0.75,0.55,473.30,1.00,1.11
16.77,17.12,-0.39,42.28,6.51,-0.95,1007.53,0.36,-0.96,73.19,0.64,-0.01,465.52,1.00,0.65
17.84,17.27,-0.24,52.08,7.38,-0.18,1006.65,0.34,-1.11,100.09,1.00,1.83,450.67,1.00,-0.22
21.76,17.83,0.28,60.27,8.11,0.47,1018.96,0.65,0.96,85.06,0.80,0.80,446.86,1.00,-0.44
12.24,16.48,-0.99,40.96,6.39,-1.05,1023.52,0.76,1.73,81.09,0.74,0.53,474.76,1.00,1.20
13.25,16.62,-0.86,49.83,7.18,-0.35,1008.76,0.39,-0.76,88.21,0.84,1.02,453.80,1.00,-0.03
17.28,17.19,-0.32,44.92,6.74,-0.74,1024.39,0.78,1.87,76.08,0.68,0.19,459.26,1.00,0.29
34.96,19.70,2.05,68.94,8.88,1.15,1006.17,0.33,-1.19,59.26,0.45,-0.96,431.48,1.00,-1.34
28.51,18.78,1.19,74.78,9.40,1.61,1009.84,0.42,-0.58,59.06,0.45,-0.98,434.43,1.00,-1.17
